Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
pe,pe1,Ethernet1,pe,pe2,Ethernet1,True
pe,pe1,Ethernet2,pe,pe3,Ethernet2,True
pe,pe1,Ethernet4,l3_interface,,,True
pe,pe1,Ethernet4.20,l3_interface,,,True
pe,pe1,Ethernet5,l3_interface,,,True
pe,pe1,Ethernet5.10,l3_interface,,,True
pe,pe2,Ethernet1,pe,pe1,Ethernet1,True
pe,pe2,Ethernet3,pe,pe3,Ethernet3,True
pe,pe2,Ethernet4,l3_interface,,,True
pe,pe2,Ethernet4.20,l3_interface,,,True
pe,pe2,Ethernet5,l3_interface,,,True
pe,pe2,Ethernet5.10,l3_interface,,,True
pe,pe3,Ethernet2,pe,pe1,Ethernet2,True
pe,pe3,Ethernet3,pe,pe2,Ethernet3,True
pe,pe3,Ethernet4,l3_interface,,,True
pe,pe3,Ethernet4.20,l3_interface,,,True
pe,pe3,Ethernet5,l3_interface,,,True
pe,pe3,Ethernet5.10,l3_interface,,,True
